# time,count,1 min rate,mean rate,5 min rate,15 min rate
10,2261,196.5968909759474,225.8343736097602,192.15699823248679,191.38781063965723
20,4858,206.21658009967794,242.7488766868186,194.36055719006941,192.13921449819102
30,8533,231.18876778350528,284.30903342392037,200.04319056086013,194.07687063094238
40,12469,256.5571895703259,311.61868349565833,206.39947380344046,196.28051985841194
50,17975,301.75118679155673,359.39757887797134,217.68335404173223,200.19483563662587
60,23822,345.14616813883055,396.93575990795193,229.71376049223954,204.4432623723139
70,29471,378.72771591452437,420.9183463969034,240.70372940279424,208.42852011357283
80,35339,410.7300236048029,441.6461620531104,252.03954181931238,212.60450663019927
90,41336,439.7410254740065,459.20139571629176,263.4424801202492,216.88382680171847
100,47340,464.33412634858234,473.31626561944927,274.47836097189287,221.1180966280242
110,53363,485.56300418030463,485.0375906177843,285.23033163832787,225.33127283463432
120,59391,503.56487905091814,494.8472265109,295.6469131058404,229.50423633387814
130,65257,516.3787559511045,501.901900325176,305.1830856222744,233.44826212295587
140,71098,526.5968249816323,507.77035116364203,314.31420218262355,237.3199083829022
150,76832,533.8497323737937,512.1427498195532,322.81094078889873,241.03378791014586
160,82518,539.2331195261613,515.6692479521007,330.87094087427243,244.65350030316262
170,88342,545.9546394137112,519.5924073940431,339.12108752851964,248.38592190275818
180,93906,547.8426681314422,521.6353027325916,346.2538719165502,251.78969211167913
190,99862,555.2120183059526,525.5262805319404,354.4326448897264,255.5898745581468
200,105878,562.3218962733026,529.3282062252053,362.5300174224027,259.41103390235156
210,111814,567.1140763406639,532.3871221243082,370.10760545073185,263.10467713725967
220,117849,572.6808107702052,535.6177753309385,377.7609214105216,266.8668521583989
230,123688,574.4741047344155,537.7155498652746,384.5167512359638,270.36822312404735
240,129791,579.9331109697987,540.7383348237304,391.91443541498336,274.1231091909448
250,135762,582.587711971611,542.9914398396605,398.63941519825903,277.6909388841079
260,141735,584.8738065038593,545.0790739234405,405.153458577792,281.22262656869526
270,147785,587.9149590071016,547.2970471471715,411.70313124522164,284.80000723158815
280,153689,588.3239387871307,548.8353410806362,417.5600634367264,288.1758688673923
290,159712,590.4983053836859,550.6778200164547,423.62303377602933,291.6490189439485
300,165552,589.477664569785,551.7875194890214,428.87458717321965,294.8772103839575
310,171398,588.716085883194,552.8450100668962,433.9845725283309,298.08053562970275
320,177308,589.1024908984546,554.0363278196718,439.1284349509566,301.3152909672411
330,183246,589.8683946624583,555.2401180804712,444.20108434768673,304.54734799252236
340,189110,589.2029427113458,556.1556353270413,448.85199144467595,307.6590090589933
350,195044,589.8057227632216,557.2188038291209,453.59168580636657,310.81716756250216
360,200930,589.6167865469725,558.0897087835516,458.0176208972812,313.88654130579766
370,206909,590.8660360539322,559.1647029687123,462.602554583187,317.0246720331608
380,212779,590.2194589556822,559.8964177812508,466.67589770632634,320.0065082559931
390,218806,592.1565466448234,560.9931642934473,471.13619974431543,323.1302625767438
400,224626,590.70089603208,561.5175587852522,474.7751731560689,325.99116963005815
410,230557,591.0870935648185,562.2870787986723,478.6524646026142,328.94167286580864
420,236502,591.5841957901972,563.0533282415014,482.45187387970526,331.87689138579407
430,241930,583.706872557033,562.5816549147336,484.4111152500802,334.2046152453614
440,247962,586.6866380673007,563.5039809351206,488.3049317258986,337.17684814206353
450,253808,586.4206317253087,563.9720847594706,491.4615589802659,339.9100072454909
460,259641,585.9095843694337,564.3914751574074,494.4683925112135,342.59818715157394
470,265578,587.1432913796403,565.0143853388407,497.7284488521612,345.3750081158932
480,271509,587.9560902158304,565.5988567690749,500.84551098145323,348.1097222207838
490,277484,589.4289173804599,566.2492235994916,504.0119271416681,350.864393238877
500,283352,589.074564693167,566.6595580241833,506.73076931554124,353.47265748076614
510,289173,587.8823676568315,566.961679352364,509.1938532099736,355.9972861427816
520,295079,588.3360222696326,567.4155239248553,511.8668440728046,358.59076105040145
530,301055,589.6904297017632,567.9844266973331,514.6693699437138,361.22933215276123
540,307011,590.5580207876678,568.4952579306117,517.3208977918067,363.8188464950351
550,312596,585.6934255040488,568.3128195081329,518.6733407571064,365.97027062330386
560,318439,585.5178577199714,568.5977351429757,520.823854989321,368.38188200099574
570,324215,584.3579489302322,568.7551170132936,522.6901979272062,370.6949590863036
580,330035,583.9224334999051,568.9829372113783,524.6288400740082,373.0284132586756
590,335933,584.7940437158185,569.3351955188627,526.7588480525894,375.4214449821647
600,341734,583.9762590856664,569.5140983353866,528.5060492141969,377.68362809426424
610,347614,584.545390843519,569.8166220367631,530.4544166531125,380.0073088599779
620,353427,584.0829553767111,570.0013195635298,532.1202403012489,382.2306553202563
630,359304,584.606264472118,570.2817607486504,533.9383728671145,384.49982682739096
640,365292,586.8293998815606,570.7283755573167,536.0745431456164,386.87106599042
650,370964,583.5979038952781,570.6721115853902,537.0777729383639,388.85948997771294
660,376842,584.1816306430521,570.9310856354541,538.7380226824292,391.0574105116001
670,382888,587.2900037371918,571.4331067067153,540.8934923110871,393.41581585496107
680,388575,584.2961295268178,571.3924538754682,541.8096060504928,395.35609085852855
690,394385,583.8501711142873,571.5312762424476,543.0864970919334,397.4035471126123
700,400080,581.7296969749036,571.5018282101787,543.97694072192,399.3137922417896
710,406006,583.3958589630263,571.7985039003391,545.5499031173046,401.4412669375487
720,411886,584.0476820949594,572.0230726592251,546.9339879153449,403.5003417550869
730,417995,588.1514642250975,572.555129191693,549.0302509688627,405.79193822874277
740,423679,585.2624898805087,572.4985789251285,549.6818773029318,407.5935067273042
750,429706,587.8492910158678,572.9007956369019,551.4056751824834,409.7447995601345
760,435754,590.4790151942163,573.3200680238313,553.1547013642,411.899184275124
770,441803,592.6462317688655,573.7297549425571,554.8491197274816,414.03154409386525
780,447853,594.4903392146283,574.1302110878876,556.4910209657968,416.14141950383896
790,453882,595.8305833730313,574.4939691822151,558.009346401768,418.20320285825164
800,459875,596.3190912493789,574.8036430758044,559.3611300097772,420.20404018312496
810,465942,597.9376827478069,575.1970345687021,560.9141482189033,422.26486764116584
820,472007,599.2476798963605,575.5783693037672,562.4084389681497,424.3005726468147
